successorfail,moneygoal,image,projectdetail,riskchallengedetail,numberofpackage,avemoneypackage,minmoneypackage,maxmoneypackage,category_animemanga,category_game,category_kosumebeauty,category_startup,category_sports,category_technology,category_fashion,category_food,category_product,category_restaurants,category_world,category_bookjournalism,category_regionalactivation,category_movie,category_communityservice,category_music
1,1000000,18,1047,0,7,111285,4000,500000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,5000000,14,2767,0,10,17400,3000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1000000,0,64,0,16,20168,6900,70000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,10,1788,0,4,10605,8980,12480,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,55,1685,147,9,17222,11000,24000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,500000,28,397,0,5,23760,6500,61500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,4000000,14,1156,0,26,57476,2000,230000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2000000,28,1508,34,3,7033,6800,7300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,500000,51,944,0,6,13320,6480,21600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,14,872,0,7,73714,2000,300000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1000000,34,2104,185,6,12149,7920,22935,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,600000,40,1528,0,8,29762,19800,39200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,5400000,36,1295,0,5,971730,5400,4320000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,50,2017,0,30,12650,10000,14980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,48,2432,0,20,5711,882,33760,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,35,1105,162,6,13535,10270,21488,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,53,966,0,4,30800,27800,33800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1080000,19,2091,0,13,9196,1080,16200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2000000,17,1302,40,12,13375,4500,29000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,200000,66,1872,0,6,50080,5480,65800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,23,1814,0,11,254272,12000,2000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,500000,55,1651,175,11,9663,1100,22800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,14,3191,0,9,55044,5400,300000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1000000,23,1060,0,3,25747,24138,27356,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1000000,80,2615,376,10,75941,23700,215830,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,17,2007,45,6,50333,17000,140000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3000000,26,5210,0,15,96200,8000,250000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1000000,15,1637,173,3,36653,4980,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100000,54,627,134,12,47681,32639,72966,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,350000,1,23,0,6,130583,3000,225500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,300000,18,799,115,5,16483,8713,39370,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,250000,38,992,155,6,45933,3300,57900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,200000,12,262,214,2,8155,7910,8400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,100000,20,609,111,10,5945,1062,16800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,40,2776,0,10,16072,4980,51800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1200000,33,1950,0,7,37757,24500,78300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,56,1318,152,11,31490,16880,52600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,23,1175,0,3,10313,6980,15980,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,51,1333,0,6,51900,15400,160000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,150000,25,2056,0,9,18138,950,70000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,100000,30,1297,0,6,43418,15260,130800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,44,1158,0,6,34000,12440,80900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1000000,21,3244,16,13,64230,13000,255000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,200000,45,1582,172,7,23595,5900,89500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,600000,36,1323,0,10,48792,1480,145800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,19,2240,0,14,23857,14000,44000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,200000,33,1044,144,10,8149,5143,11132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,17,1243,0,13,400538,23000,1400000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2000000,2,0,0,5,99150,23880,179760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3000000,15,1297,82,13,147346,1000,1000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,300000,44,1540,170,12,23333,16300,63200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,3000000,35,935,0,5,262000,32400,500000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,100000,47,1573,143,6,24203,15860,44180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,500000,16,1993,0,3,53233,29900,79900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,300000,32,1102,107,6,21036,14880,31740,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
